ID,age,gender,Machiavellianism,Narcissism,Psychopathy,Extraversion,Agreeableness,Conscientiousness,EmotionStability
765,21,Female,29,16,15,20,46,40,16
768,27,Female,32,29,20,32,37,44,36
771,22,Female,24,19,16,18,43,37,18
779,20,Female,31,29,17,31,41,39,19
781,29,Female,29,25,21,39,41,31,26
784,21,Female,27,23,17,17,33,33,20
789,19,Female,28,31,24,37,34,30,28
803,24,Female,21,17,14,12,35,37,30
806,21,Female,23,25,18,32,43,36,31
809,18,Female,30,19,18,24,46,42,15
818,21,Male,24,22,11,21,44,44,34
823,20,Female,26,16,12,22,40,33,29
824,17,Female,31,23,22,14,37,34,24
826,23,Female,23,29,13,38,41,31,42
828,19,Female,21,17,22,46,40,35,27
829,17,Female,24,19,21,26,41,34,27
830,28,Female,26,25,19,23,41,36,28
837,14,Male,39,43,34,41,34,38,26
840,20,Female,28,25,19,18,37,31,22
842,19,Female,26,18,16,22,37,30,19
844,21,Female,19,22,15,35,49,42,36
845,22,Female,23,22,13,35,47,33,36
847,24,Female,26,13,11,13,50,49,23
849,16,Female,31,28,18,38,41,41,20
874,24,Female,30,27,19,32,40,44,26
881,16,Female,28,23,20,34,39,38,32
884,17,Female,31,22,16,22,37,33,13
886,16,Female,14,28,14,38,37,38,26
888,17,Female,22,16,25,10,42,43,11
893,26,Female,22,20,16,30,41,34,27
895,17,Female,41,40,13,41,43,46,41
898,19,Female,27,20,26,49,44,31,43
900,32,Female,30,22,18,30,40,38,24
904,22,Female,20,16,22,23,37,39,36
905,14,Female,25,18,10,16,32,32,23
914,18,Female,22,25,11,12,39,38,36
917,15,Female,28,25,16,24,38,38,30
921,21,Female,28,19,17,19,34,29,12
922,15,Female,33,19,21,35,45,41,26
925,24,Female,21,23,13,26,35,40,41
926,13,Female,20,24,17,44,49,41,19
931,26,Female,29,26,15,30,43,41,32
933,22,Female,30,24,19,41,41,41,26
934,24,Female,26,15,11,25,40,36,37
938,27,Female,28,24,17,18,37,37,30
943,25,Female,34,21,21,37,45,23,29
948,30,Female,30,17,17,29,46,38,28
949,28,Male,21,16,17,12,37,25,21
951,22,Female,35,31,27,28,26,35,31
954,24,Female,26,27,12,25,42,34,35
956,19,Male,26,23,19,14,31,28,26
957,27,Female,32,20,23,23,32,35,28
960,39,Female,21,15,19,11,37,31,16
962,29,Male,22,14,19,24,37,33,45
965,19,Female,38,30,24,18,30,35,34
969,19,Female,21,21,19,25,40,39,30
970,19,Male,26,32,21,28,40,34,41
976,20,Female,19,24,19,38,40,37,38
982,23,Female,37,31,25,31,50,50,14
985,24,Male,31,27,27,31,28,36,24
4,21,Male,37,29,26,30,26,27,32
5,20,Female,19,18,13,42,41,37,35
13,22,Female,35,29,24,21,38,37,28
26,22,Female,22,23,12,34,40,36,32
31,27,Female,30,28,18,38,41,39,30
32,23,Female,37,29,23,18,32,32,20
65,24,Female,20,25,12,40,47,35,28
78,21,Male,32,35,20,22,35,34,30
83,22,Female,33,31,22,25,34,35,24
88,26,Female,37,21,14,25,28,40,42
105,22,Female,23,24,20,30,41,40,36
109,22,Female,24,21,19,21,42,36,32
115,36,Female,23,15,13,16,32,34,19
119,21,Female,36,29,17,33,34,34,20
120,25,Female,34,40,32,39,37,35,30
131,24,Female,39,26,18,19,43,42,37
135,23,Female,28,26,21,18,32,33,30
162,18,Male,37,35,28,37,37,40,29
167,21,Female,37,40,23,42,37,40,49
173,26,Female,43,32,35,31,38,38,20
176,20,Female,42,31,27,21,31,31,23
182,24,Female,27,32,21,40,39,33,24
186,30,Female,35,33,24,35,40,33,35
187,25,Female,29,28,22,28,41,33,34
194,28,Female,34,31,25,19,20,28,19
222,20,Female,35,26,31,25,26,13,31
241,19,Female,34,28,25,37,40,36,37
247,23,Female,29,28,25,25,41,46,29
266,20,Female,36,32,32,30,26,14,42
269,21,Female,30,28,14,32,40,42,23
279,20,Female,33,29,32,19,26,29,18
288,28,Female,29,28,27,38,39,36,30
291,26,Female,33,23,24,22,46,41,29
295,21,Female,32,23,20,27,42,38,34
316,20,Female,29,30,24,40,39,31,34
325,25,Female,39,37,20,29,47,48,42
331,20,Female,34,32,30,37,23,25,27
345,21,Female,28,29,20,42,43,31,17
361,40,Female,39,28,21,13,15,28,32
367,23,Female,28,27,19,33,39,34,28
368,26,Male,23,25,27,26,28,28,32
378,25,Female,22,15,15,18,38,34,15
382,24,Female,23,25,22,31,41,38,25
386,21,Female,32,23,21,23,37,33,26
395,19,Female,42,41,26,24,23,22,17
406,21,Male,42,21,23,10,29,21,40
422,20,Female,25,22,14,28,38,40,45
423,26,Female,25,27,25,33,37,32,27
428,25,Female,24,16,13,17,43,39,35
432,21,Female,37,23,37,27,35,33,42
436,24,Male,29,21,25,27,40,33,27
438,22,Female,18,22,19,29,34,36,23
442,21,Female,31,31,24,34,28,30,28
445,24,Female,29,26,13,23,32,39,23
446,25,Female,24,19,16,42,41,34,43
472,20,Female,35,34,23,34,32,33,27
478,22,Female,25,12,11,37,41,34,41
493,21,Female,30,25,25,32,30,25,29
507,20,Female,22,19,25,26,35,28,20
512,27,Female,20,31,11,30,43,33,40
526,17,Female,20,29,23,25,37,30,36
